complaint_quarter,category_clean,total_complaints
2024Q1,PERSONAL & HOUSEHOLD,1680
2024Q1,AUTOMOTIVE,1001
2024Q1,TRAVEL,458
2024Q1,"BUILDING, CONSTRUCTION & TRADE",425
2024Q1,COMMUNICATION & IT,396
2024Q1,FUEL & CHEMICALS,333
2024Q1,REAL ESTATE,324
2024Q1,HEALTH & BEAUTY,270
2024Q1,UTILITIES,180
2024Q1,"CULTURE, ENTERTAINMENT & MEDIA",173
2024Q1,"TRANSPORT, STORAGE & LOGISTICS",144
2024Q1,FINANCE & INSURANCE,105
2024Q1,"EDUCATION, TRAINING & CHILDCARE",61
2024Q1,PROFESSIONAL GOODS & SERVICES,46
2024Q1,GOVERNMENT & COMMUNITY GROUPS,40
2024Q1,SECURITY,30
2024Q1,SECOND-HAND DEALERS & PAWNBROKERS,11
2024Q1,TATTOO,10
2024Q1,"GAMBLING, SCAMS & SCHEMES",9
2024Q1,INTRODUCTION AGENTS & DATING (PERSONAL RELATIONSHIP SERVICES),5
2024Q1,FUNERAL,2
2024Q2,PERSONAL & HOUSEHOLD,1576
2024Q2,AUTOMOTIVE,936
2024Q2,TRAVEL,449
2024Q2,"BUILDING, CONSTRUCTION & TRADE",410
2024Q2,FUEL & CHEMICALS,348
2024Q2,REAL ESTATE,345
2024Q2,COMMUNICATION & IT,344
2024Q2,HEALTH & BEAUTY,237
2024Q2,"CULTURE, ENTERTAINMENT & MEDIA",224
2024Q2,UTILITIES,153
2024Q2,"TRANSPORT, STORAGE & LOGISTICS",152
2024Q2,FINANCE & INSURANCE,109
2024Q2,"EDUCATION, TRAINING & CHILDCARE",62
2024Q2,GOVERNMENT & COMMUNITY GROUPS,33
2024Q2,PROFESSIONAL GOODS & SERVICES,30
2024Q2,SECURITY,27
2024Q2,TATTOO,17
2024Q2,SECOND-HAND DEALERS & PAWNBROKERS,9
2024Q2,INTRODUCTION AGENTS & DATING (PERSONAL RELATIONSHIP SERVICES),7
2024Q2,"GAMBLING, SCAMS & SCHEMES",7
2024Q2,FUNERAL,2
2024Q3,PERSONAL & HOUSEHOLD,1405
2024Q3,AUTOMOTIVE,968
2024Q3,"BUILDING, CONSTRUCTION & TRADE",355
2024Q3,REAL ESTATE,326
2024Q3,TRAVEL,311
2024Q3,FUEL & CHEMICALS,303
2024Q3,COMMUNICATION & IT,280
2024Q3,HEALTH & BEAUTY,246
2024Q3,UTILITIES,171
2024Q3,"TRANSPORT, STORAGE & LOGISTICS",112
2024Q3,"CULTURE, ENTERTAINMENT & MEDIA",104
2024Q3,FINANCE & INSURANCE,82
2024Q3,PROFESSIONAL GOODS & SERVICES,64
2024Q3,"EDUCATION, TRAINING & CHILDCARE",39
2024Q3,GOVERNMENT & COMMUNITY GROUPS,29
2024Q3,SECURITY,21
2024Q3,TATTOO,12
2024Q3,"GAMBLING, SCAMS & SCHEMES",7
2024Q3,SECOND-HAND DEALERS & PAWNBROKERS,3
2024Q3,INTRODUCTION AGENTS & DATING (PERSONAL RELATIONSHIP SERVICES),3
2024Q3,FUNERAL,2
2024Q4,PERSONAL & HOUSEHOLD,1836
2024Q4,AUTOMOTIVE,894
2024Q4,COMMUNICATION & IT,336
2024Q4,REAL ESTATE,286
2024Q4,TRAVEL,276
2024Q4,"BUILDING, CONSTRUCTION & TRADE",250
2024Q4,HEALTH & BEAUTY,158
2024Q4,UTILITIES,125
2024Q4,"CULTURE, ENTERTAINMENT & MEDIA",122
2024Q4,"TRANSPORT, STORAGE & LOGISTICS",106
2024Q4,FUEL & CHEMICALS,87
2024Q4,TATTOO,48
2024Q4,PROFESSIONAL GOODS & SERVICES,38
2024Q4,FINANCE & INSURANCE,34
2024Q4,SECURITY,27
2024Q4,"EDUCATION, TRAINING & CHILDCARE",15
2024Q4,GOVERNMENT & COMMUNITY GROUPS,9
2024Q4,SECOND-HAND DEALERS & PAWNBROKERS,8
2024Q4,"GAMBLING, SCAMS & SCHEMES",8
2024Q4,INTRODUCTION AGENTS & DATING (PERSONAL RELATIONSHIP SERVICES),3
2024Q4,FUNERAL,2
