category_clean,total_complaints,unique_businesses,recent_complaints,risk_score
PERSONAL & HOUSEHOLD,6497,0,1836,4449.0
AUTOMOTIVE,3799,0,894,2547.6
TRAVEL,1494,0,276,979.2
"BUILDING, CONSTRUCTION & TRADE",1440,0,250,939.0
COMMUNICATION & IT,1356,0,336,914.4
REAL ESTATE,1281,0,286,854.4
FUEL & CHEMICALS,1071,0,87,668.7
HEALTH & BEAUTY,911,0,158,594.0
UTILITIES,629,0,125,414.9
"CULTURE, ENTERTAINMENT & MEDIA",623,0,122,410.4
"TRANSPORT, STORAGE & LOGISTICS",514,0,106,340.2
FINANCE & INSURANCE,330,0,34,208.2
PROFESSIONAL GOODS & SERVICES,178,0,38,118.2
"EDUCATION, TRAINING & CHILDCARE",177,0,15,110.7
SECURITY,105,0,27,71.1
